seed,base_accuracy,franken_accuracy,accuracy_diff,base_f1,franken_f1,f1_diff,base_precision,franken_precision,precision_diff,base_recall,franken_recall,recall_diff
42,0.9208715596330275,0.9254587155963303,0.004587155963302836,0.9208164715636535,0.925351806610079,0.004535335046425448,0.9210542947580199,0.9263343730702851,0.0052800783122651795,0.9206975667256041,0.9250757767112907,0.00437820998568661
43,0.9174311926605505,0.9208715596330275,0.0034403669724769603,0.9173333473779566,0.9208164715636535,0.003483124185696962,0.91803261396958,0.9210542947580199,0.0030216807884398955,0.9171086974825293,0.9206975667256041,0.003588869243074777
44,0.9231651376146789,0.9243119266055045,0.0011467889908256534,0.9231019310070694,0.9242545485175202,0.0011526175104508152,0.9234511898928912,0.9245469869363675,0.0010957970434762876,0.9229498189778564,0.9241180432769218,0.001168224299065379
45,0.9162844036697247,0.9243119266055045,0.008027522935779796,0.9161784670730277,0.9242864359686789,0.00810796889565113,0.9169607579378267,0.9242864359686789,0.007325678030852156,0.9159404731834638,0.9242864359686789,0.008345962785215044
46,0.9185779816513762,0.9128440366972477,-0.005733944954128489,0.918511001514954,0.9127779649595686,-0.0057330365553853735,0.9188570495292587,0.9130636325326591,-0.005793416996599632,0.9183611181274733,0.9126462911509641,-0.0057148269765092685
47,0.9162844036697247,0.926605504587156,0.010321100917431214,0.9162040663195793,0.9265742178249086,0.010370151505329273,0.916675890057185,0.9266195077791111,0.00994361772192609,0.9160246695293425,0.9265386882209312,0.010514018691588745
48,0.9208715596330275,0.9208715596330275,0.0,0.9208064662610118,0.9207956243294653,-1.084193154654578e-05,0.9211541197110749,0.9212717737897593,0.00011765407868447042,0.9206554685526649,0.9206133703797255,-4.209817293943097e-05
49,0.9220183486238532,0.9231651376146789,0.0011467889908256534,0.9219378620326487,0.9230914033344084,0.0011535413017597085,0.9224865047233468,0.9235697156560465,0.0010832109326996964,0.9217394965058516,0.922907720804917,0.001168224299065379
50,0.9197247706422018,0.9254587155963303,0.005733944954128489,0.9196825196319922,0.9254233095577371,0.0057407899257448936,0.9197902628032345,0.9254980918541913,0.005707829050956792,0.9196135387724172,0.9253704639218658,0.0057569251494485885
,,,,,,,,,,,,
Aggregated Mean,,,0.0031855249745157905,,,0.0031999610982362567,,,0.003086903218077882,,,0.003240389922632869
Aggregated Std,,,0.00448333641329237,,,0.004500697970380505,,,0.004375704172171791,,,0.004549480436213816
,,,,,,,,,,,,
p-values (one-sided),,,0.03965939463667127,,,0.0395783409427276,,,0.04054886457751843,,,0.039359818916504585
