layer_idx,accuracy,f1,precision,recall,acc_diff,f1_diff,precision_diff,recall_diff
0,0.9185779816513762,0.9185212968263682,0.918757998851852,0.9184032163004126,-0.0034403669724770714,-0.0034379349795617964,-0.0034923172037737427,-0.0034204765513177193
1,0.9231651376146789,0.9230800626165998,0.9237062033692758,0.9228656226319778,0.0011467889908256534,0.0011208308106698261,0.001455887313649984,0.0010419297802475302
2,0.9151376146788991,0.9150929493252489,0.915199629380054,0.9150248379220343,-0.006880733944954143,-0.006866282480681107,-0.007050686675571849,-0.006798854929696008
3,0.9254587155963303,0.925397395753127,0.9257482600747075,0.9252441694030479,0.0034403669724770714,0.0034381639471969816,0.0034979440190816558,0.0034204765513176083
4,0.9243119266055045,0.9242098609355247,0.9250949767834529,0.9239496505851645,0.002293577981651307,0.002250629129594728,0.0028446607278270752,0.0021259577334342694
5,0.9277522935779816,0.9276928604991846,0.9280453302565237,0.9275385198282394,0.005733944954128378,0.0057336286932546665,0.005795014200897897,0.0057148269765091575
6,0.9357798165137615,0.935752440596795,0.9357986483925977,0.9357160899216974,0.013761467889908285,0.013793208790864986,0.013548332336971947,0.013892397069967144
7,0.9254587155963303,0.9253871823393515,0.9258676575223337,0.9252020712301086,0.0034403669724770714,0.0034279505334214866,0.0036173414667078907,0.0033783783783782884
8,0.926605504587156,0.9265401970230668,0.9269544506038826,0.9263702955291739,0.004587155963302725,0.004580965217136801,0.0047041345482568,0.004546602677443667
9,0.9231651376146789,0.9231286421595136,0.9232030530332939,0.9230761134966743,0.0011467889908256534,0.0011694103535836442,0.0009527369776680672,0.001252420644944019
10,0.9243119266055045,0.9242545485175202,0.9245469869363675,0.9241180432769218,0.002293577981651307,0.002295316711590223,0.0022966708807417024,0.002294350425191549
11,0.9231651376146789,0.9230679081355186,0.9238606930531158,0.9228235244590385,0.0011467889908256534,0.0011086763295886648,0.001610376997490004,0.0009998316073082103
