layer_idx,accuracy,f1,precision,recall,acc_diff,f1_diff,precision_diff,recall_diff
0,0.9254587155963303,0.9254068210382245,0.9256468865703557,0.9252862675759872,-0.00917431192660545,-0.009201352940028329,-0.008981958520821398,-0.009303696219584046
1,0.944954128440367,0.9449306633686814,0.9449777890060843,0.9448934916224636,0.010321100917431214,0.010322489390428569,0.01034894391490726,0.010303527826892367
2,0.9346330275229358,0.9345702983591235,0.9350594249874826,0.9343794729308748,0.0,-3.78756191292684e-05,0.0004305798963055718,-0.0002104908646964887
3,0.9311926605504587,0.9311633292108518,0.9312090780858544,0.9311273890713143,-0.0034403669724770714,-0.003444844767401034,-0.003419767005322649,-0.0034625747242569282
4,0.9369266055045872,0.9368826947246514,0.9371283661011951,0.9367580197019449,0.002293577981651418,0.002274520746398556,0.0024995210100180465,0.0021680559063737004
5,0.926605504587156,0.9265587577312804,0.9267509215376515,0.9264544918750526,-0.008027522935779796,-0.008049416246972418,-0.007877923553525568,-0.008135471920518667
6,0.9288990825688074,0.9288148269087959,0.9295297765964179,0.9285804496084871,-0.005733944954128378,-0.005793347069456889,-0.0050990684947591625,-0.006009514187084175
7,0.9311926605504587,0.9311404986522911,0.9314369995785925,0.9310010945524965,-0.0034403669724770714,-0.0034676753259617055,-0.003191845512584557,-0.003588869243074777
8,0.9334862385321101,0.9334578849038234,0.9335038632392261,0.9334217394965059,-0.0011467889908256534,-0.0011502890744293781,-0.001124981851950979,-0.001168224299065379
9,0.9346330275229358,0.9346019791506309,0.9346782471377812,0.934547865622632,0.0,-6.194827621874843e-06,4.940204660419667e-05,-4.209817293920892e-05
10,0.9357798165137615,0.935752440596795,0.9357986483925977,0.9357160899216974,0.0011467889908257645,0.0011442666185421668,0.001169803301420691,0.0011261261261261701
11,0.9346330275229358,0.9346019791506309,0.9346782471377812,0.934547865622632,0.0,-6.194827621874843e-06,4.940204660419667e-05,-4.209817293920892e-05
