trial,duplicate_layers,duplication_counts,accuracy,f1,precision,recall,acc_diff,f1_diff,precision_diff,recall_diff
1,"[6, 7, 8]","[1, 1, 1]",0.9243119266055045,0.9242864359686789,0.9242864359686789,0.9242864359686789,0.002293577981651307,0.002327204162748897,0.0020361199130530805,0.002462743116948607
2,"[5, 7, 8]","[1, 1, 1]",0.930045871559633,0.9300192739065511,0.9300397337052337,0.9300012629451881,0.008027522935779796,0.008060042100621168,0.007789417649607944,0.008177570093457875
3,"[6, 8]","[2, 1]",0.926605504587156,0.9265993265993266,0.926605504587156,0.9267491790856277,0.004587155963302725,0.004640094793396665,0.004355188531530163,0.004925486233897436
4,"[5, 6, 7]","[1, 1, 1]",0.9197247706422018,0.9196825196319922,0.9197902628032345,0.9196135387724172,-0.002293577981651418,-0.002276712173937767,-0.002460053252391292,-0.0022101540793130203
5,"[6, 8]","[2, 1]",0.926605504587156,0.9265993265993266,0.926605504587156,0.9267491790856277,0.004587155963302725,0.004640094793396665,0.004355188531530163,0.004925486233897436
6,"[6, 7]","[1, 2]",0.9174311926605505,0.9173333473779566,0.91803261396958,0.9171086974825293,-0.004587155963302725,-0.0046258844279734035,-0.0042177020860457715,-0.004714995369200947
7,"[5, 8]","[1, 2]",0.9334862385321101,0.9334578849038234,0.9335038632392261,0.9334217394965059,0.011467889908256867,0.011498653097893441,0.011253547183600277,0.011598046644775595
8,"[5, 6, 7]","[1, 1, 1]",0.9197247706422018,0.9196825196319922,0.9197902628032345,0.9196135387724172,-0.002293577981651418,-0.002276712173937767,-0.002460053252391292,-0.0022101540793130203
9,"[6, 7, 8]","[1, 1, 1]",0.9243119266055045,0.9242864359686789,0.9242864359686789,0.9242864359686789,0.002293577981651307,0.002327204162748897,0.0020361199130530805,0.002462743116948607
10,"[5, 6]","[1, 2]",0.9013761467889908,0.9012592760347815,0.9019365862920068,0.9010482445061885,-0.020642201834862428,-0.02069995577114847,-0.020313729763619004,-0.02077544834554179
11,"[5, 8]","[2, 1]",0.9254587155963303,0.9254468519446559,0.9254157306917359,0.925538856613623,0.0034403669724770714,0.0034876201387259442,0.0031654146361100866,0.003715163761892737
12,"[7, 8]","[1, 2]",0.9208715596330275,0.9208414737631481,0.9208615109333473,0.920823861244422,-0.0011467889908257645,-0.0011177580427819134,-0.001388805122278458,-0.0009998316073083213
13,"[6, 8]","[1, 2]",0.9311926605504587,0.9311749198882382,0.9311480585078397,0.931211585417193,0.00917431192660545,0.009215688082308215,0.008897742452213864,0.009387892565462685
14,"[5, 6, 7]","[1, 1, 1]",0.9197247706422018,0.9196825196319922,0.9197902628032345,0.9196135387724172,-0.002293577981651418,-0.002276712173937767,-0.002460053252391292,-0.0022101540793130203
15,"[6, 7, 8]","[1, 1, 1]",0.9243119266055045,0.9242864359686789,0.9242864359686789,0.9242864359686789,0.002293577981651307,0.002327204162748897,0.0020361199130530805,0.002462743116948607
average,-,-,0.923012232415902,0.9229759031879883,0.923091946855268,0.9229568353400128,0.0009938837920488923,0.0010166713820581135,0.0008416307996423085,0.0011331424882826309
